id,score_phrase,title,platform,score,genre,editors_choice,release_year,release_month,release_day
0,Amazing,LittleBigPlanet PS Vita,PlayStation Vita,9.0,Platformer,Y,2012,9,12
1,Amazing,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PlayStation Vita,9.0,Platformer,Y,2012,9,12
2,Great,Splice: Tree of Life,iPad,8.5,Puzzle,N,2012,9,12
3,Great,NHL 13,Xbox 360,8.5,Sports,N,2012,9,11
4,Great,NHL 13,PlayStation 3,8.5,Sports,N,2012,9,11
5,Good,Total War Battles: Shogun,Macintosh,7.0,Strategy,N,2012,9,11
6,Awful,Double Dragon: Neon,Xbox 360,3.0,Fighting,N,2012,9,11
7,Amazing,Guild Wars 2,PC,9.0,RPG,Y,2012,9,11
8,Awful,Double Dragon: Neon,PlayStation 3,3.0,Fighting,N,2012,9,11
9,Good,Total War Battles: Shogun,PC,7.0,Strategy,N,2012,9,11
10,Good,Tekken Tag Tournament 2,PlayStation 3,7.5,Fighting,N,2012,9,11
11,Good,Tekken Tag Tournament 2,Xbox 360,7.5,Fighting,N,2012,9,11
12,Good,Wild Blood,iPhone,7.0,,N,2012,9,10
13,Amazing,Mark of the Ninja,Xbox 360,9.0,"Action, Adventure",Y,2012,9,7
14,Amazing,Mark of the Ninja,PC,9.0,"Action, Adventure",Y,2012,9,7
15,Okay,Home: A Unique Horror Adventure,Macintosh,6.5,Adventure,N,2012,9,6
16,Okay,Home: A Unique Horror Adventure,PC,6.5,Adventure,N,2012,9,6
17,Great,Avengers Initiative,iPhone,8.0,Action,N,2012,9,5
18,Mediocre,Way of the Samurai 4,PlayStation 3,5.5,"Action, Adventure",N,2012,9,3
19,Good,JoJo's Bizarre Adventure HD,Xbox 360,7.0,Fighting,N,2012,9,3
20,Good,JoJo's Bizarre Adventure HD,PlayStation 3,7.0,Fighting,N,2012,9,3
21,Good,Mass Effect 3: Leviathan,Xbox 360,7.5,RPG,N,2012,8,31
22,Good,Mass Effect 3: Leviathan,PlayStation 3,7.5,RPG,N,2012,8,31
23,Good,Mass Effect 3: Leviathan,PC,7.5,RPG,N,2012,8,31
24,Amazing,Dark Souls (Prepare to Die Edition),PC,9.0,"Action, RPG",Y,2012,8,31
25,Good,Symphony,PC,7.0,Shooter,N,2012,8,30
26,Amazing,Bastion,iPad,9.0,"Action, RPG",Y,2012,8,30
27,Good,Tom Clancy's Ghost Recon Phantoms,PC,7.5,Shooter,N,2012,8,29
28,Great,Thirty Flights of Loving,PC,8.0,Adventure,N,2012,8,29
29,Okay,Legasista,PlayStation 3,6.5,"Action, RPG",N,2012,8,28
30,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,Macintosh,9.0,Adventure,Y,2012,8,28
31,Great,World of Warcraft: Mists of Pandaria,PC,8.7,RPG,Y,2012,10,4
32,Bad,Hell Yeah! Wrath of the Dead Rabbit,PlayStation 3,4.9,Platformer,N,2012,10,4
33,Amazing,Pokemon White Version 2,Nintendo DS,9.6,RPG,Y,2012,10,3
34,Good,War of the Roses,PC,7.3,Action,N,2012,10,3
35,Amazing,Pokemon Black Version 2,Nintendo DS,9.6,RPG,Y,2012,10,3
36,Okay,Drakerider,iPhone,6.5,RPG,N,2012,10,3
37,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,Xbox 360,9.0,Adventure,Y,2012,8,28
38,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,PC,9.0,Adventure,Y,2012,8,28
39,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,PlayStation 3,9.0,Adventure,Y,2012,8,28
40,Great,Rock Band Blitz,Xbox 360,8.5,Music,Y,2012,8,27
41,Great,Counter-Strike: Global Offensive,Macintosh,8.0,Shooter,N,2012,8,27
42,Great,Worms Revolution,PlayStation 3,8.5,Strategy,N,2012,10,2
43,Great,Worms Revolution,PC,8.5,Strategy,N,2012,10,2
44,Great,Worms Revolution,Xbox 360,8.5,Strategy,N,2012,10,2
45,Amazing,Bad Piggies,iPhone,9.2,Action,Y,2012,10,1
46,Good,Resident Evil 6,PlayStation 3,7.9,"Action, Adventure",N,2012,10,1
47,Good,Resident Evil 6,Xbox 360,7.9,"Action, Adventure",N,2012,10,1
48,Good,Shad'O,PC,7.0,Adventure,N,2012,9,28
49,Okay,Demon's Score,iPhone,6.9,Action,N,2012,9,27
50,Amazing,NBA 2K13,Xbox 360,9.1,Sports,Y,2012,9,27
51,Great,Counter-Strike: Global Offensive,PC,8.0,Shooter,N,2012,8,27
52,Amazing,The World Ends with You: Solo Remix,iPad,9.5,RPG,Y,2012,8,27
53,Great,Counter-Strike: Global Offensive,PlayStation 3,8.0,Shooter,N,2012,8,27
54,Amazing,The World Ends with You: Solo Remix,iPhone,9.5,RPG,Y,2012,8,27
55,Great,Counter-Strike: Global Offensive,Xbox 360,8.0,Shooter,N,2012,8,27
56,Okay,Madden NFL 13,PlayStation Vita,6.0,Sports,N,2012,8,24
57,Amazing,Madden NFL 13,PlayStation 3,9.0,Sports,Y,2012,8,24
58,Amazing,Madden NFL 13,Xbox 360,9.0,Sports,Y,2012,8,24
59,Painful,Hoodwink,PC,2.5,Adventure,N,2012,8,23
60,Amazing,NBA 2K13,PlayStation 3,9.1,Sports,Y,2012,9,27
61,Amazing,NBA 2K13,PC,9.1,Sports,Y,2012,9,27
62,Good,Lili: Child of Geos,iPhone,7.0,Adventure,N,2012,9,26
63,Great,Marvel vs. Capcom Origins,Xbox 360,8.2,Fighting,N,2012,9,26
64,Great,Marvel vs. Capcom Origins,PlayStation 3,8.2,Fighting,N,2012,9,26
65,Great,Dead or Alive 5,PlayStation 3,8.8,Fighting,N,2012,9,25
66,Great,Dead or Alive 5,Xbox 360,8.8,Fighting,N,2012,9,25
67,Bad,Medal of Honor Warfighter,PC,4.0,Shooter,N,2012,10,26
68,Great,Professor Layton and the Miracle Mask,Nintendo 3DS,8.7,Adventure,Y,2012,10,26
69,Great,Hotline Miami,PC,8.8,Action,Y,2012,10,26
70,Okay,Edna & Harvey: Harvey's New Eyes,PC,6.0,Adventure,N,2012,10,26
71,Bad,Medal of Honor Warfighter,PlayStation 3,4.0,Shooter,N,2012,10,26
72,Bad,Medal of Honor Warfighter,Xbox 360,4.0,Shooter,N,2012,10,26
73,Great,Transformers: Fall of Cybertron,Xbox 360,8.5,Shooter,N,2012,8,21
74,Great,Transformers: Fall of Cybertron,PlayStation 3,8.5,Shooter,N,2012,8,21
75,Amazing,Hero Academy,PC,9.0,Board,Y,2012,8,20
76,Amazing,Hero Academy,iPhone,9.0,Strategy,Y,2012,8,20
77,Amazing,Puzzle Craft,iPhone,9.0,Puzzle,Y,2012,8,17
78,Mediocre,Realms Of Ancient War,Xbox 360,5.5,Action,N,2012,9,24
